make_id,model_id,year,cylinder_capacity,km,color,region,price,fuel_type_id,transmission_id,traction_id,age
49,642,2021,1600,62193,0,0,13990000,1,0,0,3
64,780,2010,1600,165900,-1,1,3500000,0,0,-1,14
63,756,2018,1500,92718,0,2,9290000,0,0,-1,6
67,5905,2018,2500,66000,-1,0,8500000,1,0,0,6
11,169,2014,2500,81000,-1,0,9390000,1,0,-1,10
47,615,2018,1800,95000,-1,3,9500000,0,1,0,6
61,734,2020,1600,50000,-1,4,12500000,0,0,0,4
20,299,2022,1500,12000,-1,0,12850000,0,0,0,2
49,657,2008,0,87397,-1,0,14990000,1,0,-1,16
11,163,1989,0,458000,-1,3,2000000,0,0,-1,35
33,400,2017,1400,107000,-1,0,8990000,0,1,0,7
6,74,2023,0,11266,-1,0,66900000,0,1,-1,1
43,586,2019,1500,86606,-1,0,6490000,0,0,-1,5
23,5940,2022,2200,63500,0,0,7990000,0,0,0,2
64,792,2020,2000,70000,-1,0,27800000,1,1,1,4
40,475,2016,0,198000,-1,2,12900000,1,0,-1,8
26,328,2013,2400,156000,-1,2,12000000,0,0,0,11
45,598,2017,0,83000000,-1,3,11990000,0,0,-1,7
209,6141,2020,1500,37000,-1,0,7200000,0,0,0,4
47,624,2013,1600,78800,-1,0,5100000,0,0,0,11
11,167,2018,1500,71000,1,0,13900000,0,1,1,6
61,736,2017,1200,117000,-1,4,6500000,0,0,-1,7
19,5603,2016,1300,200000,-1,5,6000000,1,0,-1,8
40,471,2018,1500,94000,-1,4,12000000,0,1,-1,6
30,1804,2018,0,102000,-1,1,31990000,1,1,-1,6
47,613,2011,0,206000,-1,0,9500000,1,0,1,13
31,385,2012,2400,160000,-1,0,5990000,0,1,0,12
27,346,2011,0,145000,-1,5,3200000,0,0,-1,13
33,418,2019,0,47000,-1,3,11990000,0,1,-1,5
10,5880,2023,0,5200,-1,5,10400000,0,0,-1,1
61,1688,2017,1400,102309,-1,0,6990000,0,0,-1,7
47,615,2017,1800,89000,-1,5,9500000,0,1,0,7
20,287,2016,2500,118300,-1,0,8800000,0,1,0,8
23,5940,2020,2000,85700,-1,5,10500000,1,0,1,4
11,158,2019,1500,58160,0,0,6980000,0,0,0,5
31,389,1986,0,113000,2,0,7990000,0,1,-1,38
43,5586,2021,1500,48000,-1,6,9500000,0,1,0,3
64,774,2019,1400,50000,-1,0,15700000,0,1,-1,5
23,5975,2023,2000,33000,-1,0,26500000,1,1,1,1
47,610,2014,1600,160000,-1,0,5500000,0,0,0,10
32,5910,2022,2500,11000,3,0,12190000,1,0,0,2
65,798,2018,2400,100000000,-1,6,19490000,1,1,1,6
26,330,2017,3500,84000,1,0,15990000,0,1,0,7
40,470,2017,0,81000,-1,0,13490000,0,1,-1,7
27,5588,2020,1400,37500,-1,3,10000000,0,0,0,4
11,180,2008,1400,189000,-1,0,3000000,0,0,-1,16
64,780,2018,1600,80972,-1,0,6500000,0,0,-1,6
19,1640,2019,0,26000,-1,2,16700000,0,1,1,5
45,602,2019,2400,129600,-1,0,11990000,1,0,-1,5
64,781,2019,0,46000,-1,4,12990000,0,0,-1,5
6,5803,2020,2000,23000,4,0,24880000,1,1,0,4
45,602,2013,2500,145627,-1,0,10200000,1,0,-1,11
36,446,2014,1300,46500,-1,7,3690000,0,0,-1,10
40,468,2005,0,125000,-1,0,5700000,0,0,-1,19
11,154,2011,9000,119000,-1,4,4300000,0,0,-1,13
47,615,2015,1800,91000,-1,5,7400000,0,0,0,9
63,756,2009,1300,150000,-1,0,5600000,0,0,0,15
45,602,2022,2400,19000,-1,0,24000000,1,0,0,2
47,610,2019,1600,122000,-1,0,7200000,0,0,0,5
40,470,2018,2000,67873,-1,0,11000000,0,1,0,6
29,6027,2021,1500,35000,5,0,7790000,0,0,0,3
63,756,2020,1500,27402,-1,0,10490000,0,0,-1,4
61,747,2013,2400,131300,-1,0,8390000,0,0,1,11
59,719,2017,0,130000,-1,8,11900000,1,0,0,7
13,201,2023,1200,2500,-1,0,13000000,0,0,0,1
61,736,2022,1200,22000,-1,0,7900000,0,0,0,2
42,1437,2022,3000,12000,-1,0,80000000,0,1,1,2
33,410,2014,0,110000,-1,0,3900000,0,0,-1,10
65,803,2009,2500,109400,-1,1,8300000,0,1,-1,15
50,664,2006,0,156300,0,0,14900000,0,1,-1,18
33,396,2010,2200,43456,-1,9,7900000,1,1,-1,14
64,772,2012,2000,117000,-1,0,6900000,0,1,0,12
202,5645,2023,3600,23000,1,6,41990000,0,1,1,1
40,470,2015,0,0,-1,4,9990000,0,0,-1,9
63,762,2019,2800,99000,-1,6,19800000,1,0,1,5
61,746,2010,0,110000,-1,0,4500000,0,1,-1,14
6,5852,2020,2000,55400,0,0,26590000,1,1,-1,4
13,213,2015,1600,225000,-1,0,5200000,1,0,0,9
26,5564,2019,1500,58000,-1,0,11790000,0,1,-1,5
65,800,2016,2000,110000,1,0,13900000,0,1,1,8
27,5916,2021,1400,27984,-1,3,8490000,0,0,0,3
13,208,2021,0,54700,0,0,18900000,1,1,-1,3
11,161,2009,1600,192000,-1,0,3600000,0,0,0,15
13,213,2020,1600,65414,0,0,9990000,1,0,0,4
64,776,2013,1600,205000,-1,5,5300000,0,0,-1,11
40,5922,2021,2000,32000,-1,3,17750000,0,1,0,3
33,393,2016,2000,123800,-1,4,13490000,0,0,0,8
20,293,2019,5000,68000,-1,6,36000000,0,1,1,5
60,723,2020,0,62000,4,3,14590000,0,1,1,4
47,610,2019,1600,98000,-1,0,7500000,0,1,0,5
61,1487,2020,1400,89000,-1,0,9200000,0,1,-1,4
11,176,2022,1500,46000,-1,0,7990000,0,0,-1,2
10,5879,2023,0,13100,-1,6,13090000,0,1,-1,1
20,291,2013,1600,110000,-1,0,5800000,0,0,0,11
40,474,2022,2000,39000,-1,0,21000000,0,1,0,2
20,293,2017,0,73000,6,0,29100000,0,1,1,7
11,172,2005,0,288000,-1,5,1500000,0,0,-1,19
13,201,2021,1500,33600,-1,0,11990000,1,0,-1,3
11,158,2013,1400,124000,-1,0,3500000,0,0,0,11
47,1829,2021,1600,22461,-1,0,12890000,0,0,-1,3
49,810,2018,0,73000,-1,0,8890000,1,0,-1,6
10,1723,2016,2000,176000,-1,0,7500000,0,0,0,8
45,1189,2022,1500,48120,-1,1,16490000,0,1,0,2
16,240,2015,2400,116700,-1,0,10000000,0,1,0,9
20,293,2017,3500,50000,-1,0,20690000,0,1,0,7
27,334,2021,0,18000,-1,0,14490000,0,0,-1,3
27,340,2014,2500,200000,-1,10,10200000,1,0,-1,10
11,158,2020,1500,36484,-1,0,7490000,0,0,-1,4
23,5975,2021,2000,56000,-1,0,15000000,1,0,0,3
63,762,2014,2500,260000,-1,10,12000000,1,0,1,10
11,1806,2018,1400,85000,-1,0,6200000,0,0,-1,6
49,642,2021,1600,68515,-1,0,10990000,1,0,-1,3
33,410,2022,0,20000,-1,0,8480000,0,0,-1,2
33,396,2019,0,51695,4,2,20490000,1,1,-1,5
64,792,2019,2000,75000,-1,2,19990000,1,1,1,5
48,5884,2021,1600,25000,-1,5,16250000,0,1,-1,3
11,154,2014,0,160000,-1,0,2500000,0,0,-1,10
57,709,2016,1200,140075,-1,0,6300000,0,0,0,8
47,622,2015,2500,209776,-1,1,8490000,1,0,0,9
60,724,2010,3600,147404,-1,0,7950000,0,1,1,14
13,200,2018,1200,76245,1,0,7690000,0,0,0,6
64,776,2019,1600,70000,-1,0,9500000,0,0,0,5
31,389,2019,3200,66400,3,0,16970000,0,1,1,5
20,291,2011,1600,160000,-1,11,4200000,0,0,-1,13
27,334,2014,0,125000,-1,7,11000000,1,0,-1,10
63,771,2013,4000,156000,-1,2,16500000,0,1,-1,11
20,285,2019,2000,80000,-1,0,13000000,0,1,0,5
47,616,2016,0,67000,-1,3,9000000,0,0,-1,8
19,1640,2013,0,90000,0,0,7480000,0,1,-1,11
59,721,2014,0,117300,-1,5,5000000,0,0,-1,10
33,407,2020,1600,100000,-1,5,12700000,0,0,0,4
53,690,2020,0,35200,0,0,42900000,0,1,-1,4
52,5600,2019,1600,61000,-1,0,10290000,0,0,0,5
20,299,2020,0,42491,-1,0,13090000,0,1,1,4
43,5586,2022,0,56705,-1,3,8490000,0,0,-1,2
48,6170,2021,0,20000,-1,0,15000000,0,0,-1,3
20,299,2019,1500,94000,-1,6,12000000,0,1,0,5
11,169,2012,0,200000,-1,4,8500000,1,0,-1,12
63,760,2017,0,91235,-1,0,11190000,0,0,-1,7
73,5845,2023,0,1800,-1,5,10480000,0,0,-1,1
29,6026,2017,7000,37500,-1,3,8280000,0,0,-1,7
65,802,2019,2400,60000,0,10,19000000,1,1,0,5
27,353,2021,6000,46000,-1,5,9850000,0,0,-1,3
19,274,2013,1400,236000,-1,0,4200000,0,0,0,11
61,736,2017,0,33500,-1,3,7500000,0,0,-1,7
47,1454,2016,2500,108000,-1,5,11000000,0,0,0,8
31,382,2022,3600,36900,0,0,38980000,0,1,1,2
27,339,2004,0,82893,-1,10,8800000,1,0,-1,20
61,736,2022,1000,29000,-1,0,10500000,0,0,0,2
7,5904,2021,1600,100000000,-1,0,11000000,0,0,0,3
20,288,2016,5000,65000,-1,7,22990000,0,0,0,8
60,728,2010,2000,165000,-1,0,75000000,0,1,1,14
11,176,2015,2200,139000,-1,5,11500000,1,0,1,9
20,285,2018,2000,67000,-1,0,9500000,0,1,0,6
